Record ID,Update ID,Proposal ID,Proposal type,Proposal category,Financial category,Description,Amount,Token,Receiver,Link
1,d6c25037-37ac-46e3-8eb7-612cecb36f39,5a5c472b-0ed2-4086-b7fc-22e37b4ad39c,grant,Core Unit,Other,No funds released,1,DAI,0xFc6AE1845B79F82d6F7Eca355109AcECaF1020D7,https://etherscan.io/
4,99013b12-6204-11ee-921b-3b664a734355,fe96cc60-182b-11ee-93a7-ed9294f83f74,grant,In-World Content,Team Compensation,Monthly Salary and for Payment to guests,2000,PYUSD,0x3f3f09cd7e1753db29fbe6dccf8d8720934992c1,https://etherscan.io/tx/0xa722286e3e5393741f6921ec9eb94664c21edf0d381323ad83352450d2a4feb5
5,99013b12-6204-11ee-921b-3b664a734355,fe96cc60-182b-11ee-93a7-ed9294f83f74,grant,In-World Content,Team Compensation,Monthly Salary and for Payment to guests,1300,PYUSD,0x3f3f09cd7e1753db29fbe6dccf8d8720934992c1,https://etherscan.io/tx/0x835978527b5763de871afd0f7b5121516c3b9d6951c61175eec8791931cf6703
6,75e82c01-2ad3-11ee-8fbb-d9eddf5c2b3f,f3874400-1743-11ee-93a7-ed9294f83f74,grant,In-World Content,Team Compensation,Design and production of 2D and 3D game assets,1900,USD,0xd91dB432D98D80e9467206cab3B9C46081795f0d,https://etherscan.io/tx/0xe0bcbb7d95dea20575238531e1860d4298098919f3d49ad04fdd1b4ac322d714
7,75e82c01-2ad3-11ee-8fbb-d9eddf5c2b3f,f3874400-1743-11ee-93a7-ed9294f83f74,grant,In-World Content,Team Compensation,Programming game update and maintanence,3365,USD,0xd91dB432D98D80e9467206cab3B9C46081795f0d,https://etherscan.io/tx/0xe0bcbb7d95dea20575238531e1860d4298098919f3d49ad04fdd1b4ac322d714
8,75e82c01-2ad3-11ee-8fbb-d9eddf5c2b3f,f3874400-1743-11ee-93a7-ed9294f83f74,grant,In-World Content,Team Compensation,Execution and administration,2550,USD,0xd91dB432D98D80e9467206cab3B9C46081795f0d,https://etherscan.io/tx/0xe0bcbb7d95dea20575238531e1860d4298098919f3d49ad04fdd1b4ac322d714
9,75e82c01-2ad3-11ee-8fbb-d9eddf5c2b3f,f3874400-1743-11ee-93a7-ed9294f83f74,grant,In-World Content,Tools & Services,AWS application hosting,640,USD,0xd91dB432D98D80e9467206cab3B9C46081795f0d,https://etherscan.io/tx/0xe0bcbb7d95dea20575238531e1860d4298098919f3d49ad04fdd1b4ac322d714
10,75e82c01-2ad3-11ee-8fbb-d9eddf5c2b3f,f3874400-1743-11ee-93a7-ed9294f83f74,grant,In-World Content,Marketing,Promotion and giveaways for onboarding external communities and influencers,2500,USD,0xd91dB432D98D80e9467206cab3B9C46081795f0d,https://etherscan.io/tx/0xe0bcbb7d95dea20575238531e1860d4298098919f3d49ad04fdd1b4ac322d714
11,61fb0194-2ad3-11ee-8fbb-d9eddf5c2b3f,b51854d0-1666-11ee-93a7-ed9294f83f74,grant,Core Unit,Team Compensation,DAO strategic facilitation,3573,DAI,0x7266baC9E08d645B160dDd769b5b7e311196539b,https://etherscan.io/tx/0x03cd98b16c1fc9f23d70465a4d7e4058909f23173db5f25604d0904769e5808b
12,61fb0194-2ad3-11ee-8fbb-d9eddf5c2b3f,b51854d0-1666-11ee-93a7-ed9294f83f74,grant,Core Unit,Other,German taxes and the associated fees,1760,DAI,0x7266baC9E08d645B160dDd769b5b7e311196539b,https://etherscan.io/tx/0x03cd98b16c1fc9f23d70465a4d7e4058909f23173db5f25604d0904769e5808b
13,496bc872-4681-11ee-ab1f-97157a05bdec,dcfc1f80-235f-11ee-8ace-3bf098daeebe,grant,Social Media Content,Team Compensation,Operator Compensation for work rendered gas reimbursement marketing and software expenses Salary,5833,DAI,0x2D7526b8aB977204920D9ec74F62510101BC84E0,https://etherscan.io/tx/0x016cf7d918c7ec0fb32c08d9bd6639b89d7b7d8d15afbd681b3ea16cf938beac
14,afe65390-5c84-11ee-abd9-01bdc8ef3aac,1740a740-4db0-11ee-beb5-696f9c967b67,grant,Documentation,Team Compensation,Personal Expense,3935,DAI,0x8D62189E991597b1aE712b68E6ef87C9F46f9BbB,https://etherscan.io/tx/0x4f2a9d2dddb91fbfc0b1c98e0ca65cbe72ffb9ab64ca2c7eda71101b61c8f2e4
