Proposal ID,Snapshot ID,Author,Title,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Vesting Contract,Vesting Released Amount,Vesting Releasable Amount,Vesting Token Contract Balance,Vesting Total Amount,Vesting Start At,Vesting Finish At,Enacting Transaction,Transaction Date,Transaction Amount
fb94dcb0-4c38-11ed-a234-ef1b91ca21e2,0x8d9612ed7bd167cdeed2d91defdd7cb36924363d64cccefb49bcaa12456ea560,0x3cb9e515e2452937b501734aa2cc8ea673c28f27,Rarible Protocol <> Decentraland Integration | Stellar Gate Project,active,2022-10-15T03:25:00.107Z,2022-10-29T03:25:00.106Z,2000000,110924.06511627809,Platform Contributor,Tier 4,24000,0x03651FEf8b3deA464D3b2BE5a0050742547cE0e9,,,,,,,,,,,
13309bc0-4c2f-11ed-a234-ef1b91ca21e2,0xac656c260920325a260ce48b3207f0cb109dd479f475ff7757e3a11041806b72,0x3cb9e515e2452937b501734aa2cc8ea673c28f27,New type of POAP distribution called C.A.T. | Stellar Gate Project,active,2022-10-15T02:14:00.748Z,2022-10-22T02:14:00.747Z,0,108518.6439248563,Platform Contributor,Tier 3,5000,0x03651FEf8b3deA464D3b2BE5a0050742547cE0e9,,,,,,,,,,,
3eeea430-4c13-11ed-a234-ef1b91ca21e2,0x90ec5a91234e970827796a87917fab248db7f0e86b7c2dfe7a2ee5edb7f3e0c7,0x78b850b0f8728de91a392d79011d183f44d01d08,Analysing the customer base of Decentraland (Masters Thesis),active,2022-10-14T22:55:00.227Z,2022-10-28T22:55:00.226Z,2000000,236741.76144374185,Community,Tier 4,16450,0x78B850B0f8728de91a392D79011d183f44d01d08,,,,,,,,,,,
8f4e94e0-4b1d-11ed-a234-ef1b91ca21e2,0xfa4ff23f16bb900ba9493c1f7aa2da3a7c6faff4ba892d14161e2bbafdd97775,0x6de1ac36fd4c11af0fbeab1dd12c4fecbbabd8c1,Temple,active,2022-10-13T17:36:00.878Z,2022-10-27T17:36:00.877Z,2000000,633704.8483365738,Gaming,Tier 4,60000,0xf623426977147666aC678Aa8b398ed21be822a11,,,,,,,,,,,
e2cdaad0-4a72-11ed-bdf3-75f4f4d9ef2f,0x4f72019927c5be9494b256bac01ce407e020c34ed9286da0baed1128e189ab46,0x7616e594f1832d0dc7aad3923967d76fd98416e2,ART|DAI Battles (Super Extra Revised),active,2022-10-12T21:14:00.021Z,2022-10-19T21:14:00.021Z,0,1495314.0774781313,Content Creator,Tier 1,1500,0xd5879eCb96DF9a3c4584d7e1A49Ee53ba94104D3,,,,,,,,,,,
9575fd70-48bd-11ed-bdf3-75f4f4d9ef2f,0xada9f87d116b69707ed86612ddf6616d5a282d8884497a7771ac4ab28a180365,0xd2d950cea649feef4d6111c18adbd9a37b3a9f63,The DCL Report Increasing Awareness and Empowering Community,active,2022-10-10T17:04:00.191Z,2022-10-24T17:04:00.190Z,8000000,3880922.3562244824,Content Creator,Tier 6,240000,0xe8C599568Fb76884C1100278A0430011067707Ec,,,,,,,,,,,
1d2927b0-48aa-11ed-bdf3-75f4f4d9ef2f,0xa10519c5e4c5fb6d2cd04a5df2f2a35b2760fa2da382fcce4765862fac06220d,0xe18118afd116bb77549f8d4694b3261426dcde10,Empowerirng creators through  virtual production content for the web3 ecosystem.,active,2022-10-10T14:44:00.923Z,2022-10-17T14:44:00.922Z,0,1107716.1078772685,Content Creator,Tier 2,3000,0xF2cB497Ec3fE52D92B29466c0B369A1fEe0199FD,,,,,,,,,,,
334a1f50-482c-11ed-9eb2-21be7ab68113,0x062b3179935c96f6e82dd839f58eceede8354dc304eb0a2841e2b3ba30e7de28,0x3cb9e515e2452937b501734aa2cc8ea673c28f27,Rarible Protocol <> Decentraland Integration | Stellar Gate Project,active,2022-10-09T23:43:00.461Z,2022-10-23T23:43:00.460Z,2000000,1212940.137607955,Platform Contributor,Tier 4,24000,0x03651FEf8b3deA464D3b2BE5a0050742547cE0e9,,,,,,,,,,,
847247f0-4547-11ed-9eb2-21be7ab68113,0xf69a804dcd0c4274e7fc04aa5e5ba0ae28e8a9774cde12ccc4580abe8c046e33,0xd750c200b1009cf4232532ac8d676a7cb790c974,"A Book to introduce DCL to Chinese People, Lift DCL Fame & Open the 1.4B Market",active,2022-10-06T07:21:00.543Z,2022-10-20T07:21:00.543Z,2000000,1260851.0371111939,Community,Tier 4,58500,0xD750C200b1009cf4232532ac8D676a7cB790C974,,,,,,,,,,,
8f170b00-4547-11ed-9eb2-21be7ab68113,0x773468c4603cf3b4d290358f075bc1f983173f1486991e209495535f0d6f8aa9,0xa7f9756bc9d51aa3b3c71f79392ea8c685f10766,"Business Reviews, Scam Prevention, Security Help & Registries [Trust In DCL]",active,2022-10-06T07:21:00.400Z,2022-10-20T07:21:00.400Z,2000000,1536036.7514966638,Community,Tier 4,59920,0xa7f9756bC9D51AA3b3c71F79392Ea8C685F10766,,,,,,,,,,,
bcd48260-42b9-11ed-9eb2-21be7ab68113,0x33ece1d9c67c65dba727bfb71a105a2f90e796024fde1764a1f53d3ddf80f2a8,0x58754d9b3dbb4ddf5ac3502acb963743b15e6398,"MetaPartyHub, an immersive Devcon side event to promote Decentraland",enacted,2022-10-03T01:21:00.278Z,2022-10-10T01:21:00.277Z,1000000,2022387.9348859722,Community,Tier 2,3000,0x2a9Da28bCbF97A8C008Fd211f5127b860613922D,[object Object],,,,,,,,0x3e756a868a43ce7eca363c7796b286cdddc91145ea3bdd005b11db087509ad63,2022-10-13T13:08:35Z,4615
5c24e2b0-4125-11ed-9eb2-21be7ab68113,0x7d4560966bbc3ca341fb9228d9da09a8269782dd855e9905716924aace093851,0xd42ce5ab59007b2b8de420d1c9712c32ae93bc0f,Make Decentraland Great Again - MDGA,rejected,2022-10-01T01:07:00.388Z,2022-10-15T01:07:00.387Z,2000000,2966427.386285843,Platform Contributor,Tier 4,60000,0xd42cE5Ab59007B2B8dE420d1c9712C32aE93Bc0F,,,,,,,,,,,
c00bf190-4046-11ed-9eb2-21be7ab68113,0x4e732629bb8ec124a63a95b38ae5334256eea1eaf5793f33ec8665e95be0a721,0x7616e594f1832d0dc7aad3923967d76fd98416e2,ART or DAI Battles (Revised Submission),rejected,2022-09-29T22:33:00.225Z,2022-10-13T22:33:00.224Z,2000000,1612087.9426084626,Content Creator,Tier 4,25000,0xd5879eCb96DF9a3c4584d7e1A49Ee53ba94104D3,,,,,,,,,,,
0db018f0-3e25-11ed-ae53-272ba72c798d,0x141a9a83de1110cd933d48714a5de4d6202bb9b4a8869b4e21b66fdaf9b4df6b,0xc24789c6f165329290ddd3fbeac3b6842a294003,Communuity Card Game Module Expansion - More Games,enacted,2022-09-27T05:27:00.271Z,2022-10-04T05:27:00.271Z,1000000,1797727.7299763628,Gaming,Tier 2,3000,0xC24789C6f165329290Ddd3fBEac3b6842a294003,[object Object],,,,,,,,0x3e756a868a43ce7eca363c7796b286cdddc91145ea3bdd005b11db087509ad63,2022-10-13T13:08:35Z,4615
1117c6c0-3ced-11ed-a2ad-25cde07289d9,0x44a2954eea6259e92344f2ac12d745986ce8c494409a474f9dc3dc5aede7fa02,0x2e09a10eaace1ef3a66fbf6f1f782c8c0cb8c942,Dungeons and Dragons & Decentraland (Demo),enacted,2022-09-25T16:14:00.004Z,2022-10-02T16:14:00.003Z,1000000,1756866.5585137801,Gaming,Tier 3,5000,0x2e09A10eaAcE1Ef3a66FbF6F1F782C8c0cb8c942,[object Object],0x13338EE77F5D4191c65b0787515f23f2955b2B69,0,0,7143,7143,Sun Oct 02 2022 16:14:00 GMT+0000 (Coordinated Universal Time),Sat Dec 31 2022 16:14:00 GMT+0000 (Coordinated Universal Time),,,
c9aa8040-3c09-11ed-a2ad-25cde07289d9,0x350fb42e1f5afa46b1546f0121dd90f25aa3e9cab9528f44d3196145ed9bc5eb,0x9a739c2e212754c3d8432cb717dc9437e5b3dfae,Continued Development of No-Code Creator Tool for Decentraland,rejected,2022-09-24T13:07:00.412Z,2022-10-08T13:07:00.406Z,8000000,3090954.8196021947,Platform Contributor,Tier 6,240000,0x7A5eF3b7d27Eec9B92c491283F65D85c73421f9f,,,,,,,,,,,
b328a6d0-3b7d-11ed-a2ad-25cde07289d9,0x987791362b38940829f74f249cf365d8ff0eeacfc654b48038cd943e4d95d572,0xce828b10570351a8d56d934cc2481950ddfa12df,Virtual Street Team,rejected,2022-09-23T20:24:00.109Z,2022-10-07T20:24:00.108Z,2000000,1616821.670418077,Community,Tier 4,30000,0xCE828b10570351a8d56d934CC2481950DDFA12DF,,,,,,,,,,,
75401e40-3b67-11ed-a2ad-25cde07289d9,0x0f624c555f35a0e69ea856b8d1125ef483c4487e2411b1ba25a8ff621ce0e4a2,0xed0e0cb94f60f72ec94bef848f5df4cbd365af1d,Duel Arena P2E; Turn Based RPG | Play to Earn,rejected,2022-09-23T17:45:00.316Z,2022-10-07T17:45:00.316Z,2000000,7077008.401990559,Gaming,Tier 4,60000,0xed0E0cb94F60F72ec94beF848f5dF4Cbd365aF1D,,,,,,,,,,,
68a96ab0-3900-11ed-a2f4-07fa9844a05e,0x35b5b1e29ba6803229109a1464043cf1bbc383b93960bdd1fc1b17260eb467e7,0x9dfa9dfd15d2b2fa9717b4fc545c2bb35a29215c,NFT Lands delegation in the WakeUp dApp (+ Decentraland DAO earns royalty fees),rejected,2022-09-20T16:22:00.707Z,2022-09-27T16:22:00.706Z,1000000,1933411.2732648938,Platform Contributor,Tier 3,5000,0x74B5ac5D6d03d3C10B823a955A1B3E127DE5aEE5,,,,,,,,,,,
