Proposal ID,Project ID,Snapshot ID,Author,Title,Type,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Enacting Transaction,Transaction Date,Transaction Amount,Done Updates,Late Updates,Missed Updates,Update Status,Project Health,Last Update,Next Update,Pending Updates
542de96c-4e50-416e-b9e7-4650b6b82ae7,f73536f6-24a4-4363-a371-d46e01fea1ff,0x3a64a6b48cee4aedb8d375da8ec47486ba5df8b0339bdec5b1dad6c53d7089ca,0xbf0b8c681b54027b11318cd6cf7cbf96c49666a2,"Genesis city map, 6-month renewal ",grant,enacted,2024-06-07T23:13:00.755Z,2024-06-21T23:13:00.754Z,2000000,3661108.283521546,Platform,Lower Tier,12156,0xD58607F5323e4966a8c871E155Cee9489CF8c469,,,,,0,0,0,pending,,,2024-08-01T00:00:00.000Z,6
aa604b52-d53a-4d00-be41-2a492682641a,e2648fea-66aa-43b5-8311-555e51358ab1,0x37f0432c19af7550c9fae4cb2da0acd38af43f4c5a4fce319979262ef7dab464,0x52af362deb54513904a324f7ab8eabfe309c7cff, Resubmission:  Advertising Platform ,grant,passed,2024-04-19T15:57:00.673Z,2024-05-03T15:57:00.672Z,4578800,11457494.67370075,Platform,Higher Tier,84470,0x52Af362DEB54513904a324F7aB8EaBFE309C7CFF,,,,,,,,,,,,
c58ef920-ce49-481a-ab52-dba2747d9770,3f6c2ec3-c70e-4040-85d9-331832a4bc17,0xbdd6f492f9e9a8cbd958af70348e9bc93736b1af4203fc72a14cf57c20f0d927,0x83f9192d59b393c8789b55d446e5d4a77075c820," Renewal New DAO Explorers: Mobile, VR, and Desktop (in Godot & Bevy)",grant,enacted,2024-04-12T16:13:00.112Z,2024-04-26T16:13:00.110Z,7422400,11547742.766421063,Platform,Higher Tier,155560,0x04812c531083054863ef354EF600A61857921466,,,,,2,0,0,pending,onTrack,2024-06-27T15:11:15.547Z,2024-08-01T00:00:00.000Z,4
f38cf299-f5df-45b7-b08c-716c49dc14d9,2de599ae-ccf1-4c0f-9c07-f5b864a69be1,0x061be8a43d0eae483d145bc8d73af346fdb4fede1bd1bd2a1fe6c41c134db52b,0xf0480e7b09edb7229d4f7b3b25ef77429c5754cf,Grant Support Squad H2 2024,grant,enacted,2024-04-05T14:10:00.634Z,2024-04-19T14:10:00.632Z,4048000,9886591.265054146,Core Unit,Higher Tier,71200,0x658497d7681e4Fb18C65AbD5Ce066A1e3082c1e5,,,,,2,0,0,pending,onTrack,2024-06-27T15:46:02.049Z,2024-08-01T00:00:00.000Z,4
4e5dd188-3c30-4ac7-b182-c7b0dc7de002,536be4d8-e5b7-4980-ab33-5e524992b1cf,0x0bec8bfe0d9edc8e2963991195a1fdf12c21e79e94e7b336bed068578eede415,0x83f9192d59b393c8789b55d446e5d4a77075c820,[BID-0009] Protocol Squad & Coding Cave,bid,enacted,2024-04-02T19:03:00.504Z,2024-04-16T19:02:07.241Z,5260000,9790879.945032792,,,101500,0x04812c531083054863ef354EF600A61857921466,,,,,2,0,0,pending,onTrack,2024-06-27T14:38:49.835Z,2024-08-01T00:00:00.000Z,4
bf3c236b-ebcf-4e79-a3c2-26ddbfdb30eb,4d32b2c8-1fca-4692-8186-30b9379f3c0e,0x8f2b23a575f3434a18e524eb89eab3d303816dbb023f46e6d0b645359dc4a205,0xc3e3d13d98b84e1808c4145355c0cade20a2fc98,In World Builder - No Code Game Creator,grant,enacted,2024-03-19T20:04:00.969Z,2024-04-02T20:04:00.968Z,6080000,11794404.88526137,Platform,Higher Tier,122000,0xe96f1c6B08b1d932Df11E78A040a75B546ab8d2B,,,,,2,0,0,pending,onTrack,2024-06-30T20:40:55.547Z,2024-08-01T00:00:00.000Z,3
578d3d3e-9fd2-48cb-bea3-ddc6fb5ab1dd,abc824d3-5eda-4226-bfe6-a1c0573fb1c4,0x4699dcb8fc86b4ffbd72d57e6a6173833560f53474993f5e75ea2a593ae607e7,0x89a1d730aa1e78a0ede8dea988acecff0a6e99a9,Decentraland No-Code UI Design Studio,grant,enacted,2024-03-06T21:40:00.362Z,2024-03-20T21:40:00.361Z,2600000,23651521.100720387,Platform,Higher Tier,35000,0x89a1D730AA1e78A0EdE8DEa988AcECfF0A6e99a9,,,,,4,0,0,done,onTrack,2024-07-25T16:32:13.187Z,2024-09-01T00:00:00.000Z,6
a0e2bf05-2a60-4443-8ae3-5c9505e74cec,9e269bf7-a668-4728-8280-16867a1afe66,0x0e2bb5a883f43ee37f48752091e9f9d8808a56a4ff885cfdb6ad1e22b5f9e020,0x8b257b97c0e07e527b073b6513ba8ea659279b61,Retroactive Grant: Morph,grant,enacted,2024-02-06T01:30:00.486Z,2024-02-20T01:30:00.484Z,2000000,12187750.576733725,Social Media Content,Lower Tier,4800,0x8B257B97C0e07E527B073b6513ba8Ea659279b61,,,,,0,1,0,late,onTrack,2024-04-01T14:28:01.405Z,,0
034fbe30-038d-4349-b6ee-fcb80469b64e,a43e816d-7ba2-46dd-8143-4a5123cd7c36,0xdc7c34325383e087ae5b8b909285c4a3b83e51972059d812a1cd948568665c24,0xe339ebc7ec708bf42eed1b54a4df852312db2c5b,Facemoon: Enabling Decentraland's Next-Level Experience,grant,enacted,2024-02-02T04:12:00.300Z,2024-02-16T04:12:00.299Z,2000000,8162574.680607286,In-World Content,Lower Tier,10000,0xe339ebC7EC708BF42EEd1B54a4Df852312DB2c5b,,,,,5,0,0,done,onTrack,2024-07-26T23:25:38.157Z,2024-09-01T00:00:00.000Z,2
56f47cf0-d3a4-4c78-aa52-256c45fcfc65,be4b329c-50ca-41a3-be69-ce778ae63fb7,0x1648f77a19e135641ba52e8f4294aeedf36a81fa116560e25985f1374d52be4d,0x2faab28f398c330430157893a48edc3799d99159,600 posters to boost Decentraland,grant,enacted,2024-01-26T18:57:00.431Z,2024-02-09T18:57:00.430Z,2000000,16944412.383032072,Social Media Content,Lower Tier,9700,0x2faAB28F398C330430157893A48EdC3799D99159,,,,,0,0,3,,,,,3
