Proposal ID,Snapshot ID,Author,Type,Title,Started,Ended,Threshold,Status,Forum Topic,Total VP,MANA VP,LAND VP,NAMES VP,DELEGATED VP,Votes
93bc8120-067c-11ee-8f51-bb3157c3bc20,0xa3e2082c35f6fdac9ebb94002090e090777f84af5708a424d67a01d17ac1518b,0x76d429836cf2d4944a5e4ec689271151f877b252,grant,A dedicated reporter will publish 50 articles about Decentraland for 120 days,2023-06-09T04:17:00.938Z,2023-06-23T04:17:00.937Z,2000000,active,19498,532634.8499221759,123.96792218580612,0,200,532310.88199999,12
edbaa830-0674-11ee-8f51-bb3157c3bc20,0x9541f190a66f08ba84cb4e951367c273271c229b7209d4b652f22c5436dd3348,0xed0e0cb94f60f72ec94bef848f5df4cbd365af1d,poll,Grant Support Squad (GSS) Guidelines and Accountability Framework | Revocation Trial.,2023-06-09T03:22:00.947Z,2023-06-14T03:22:00.946Z,500000,active,19497,9013.750699520653,200.13469200704455,2000,600,6213.616007513609,20
725a1020-061c-11ee-8f51-bb3157c3bc20,0xe0478783e4ece60f005d1ab99e8e9093c904f2018b19248f5367ae1c998d4178,0x7ace0b7a0cfb2980aa25310af5c2602144d58db2,grant,Understanding and Improving the Governance Participation in Decentraland,2023-06-08T16:49:00.242Z,2023-06-22T16:49:00.241Z,2000000,active,19495,536934.120974478,139.41793913101355,0,400,536394.703035347,29
b44758e0-0602-11ee-8f51-bb3157c3bc20,0x627ad9207b07d945d0950f24f80da7672bf4149947ac6361ccaddb2a31d9dc50,0xa2263d90a001764b0cad2642b07974075b020368,grant,3D Labyrinth  - Follow up,2023-06-08T13:45:00.934Z,2023-06-22T13:45:00.933Z,2000000,active,19491,536937.9923586386,143.28932329153497,0,400,536394.703035347,30
6b252940-0589-11ee-8f51-bb3157c3bc20,0xf8772fe4299867e2d3e5d94b83e363c6a8c6ebb2b3d10cb8ada8c6c541907ca8,0x247e0896706bb09245549e476257a0a1129db418,poi,"Remove the location 46,-52 from the Points of Interest",2023-06-07T23:17:00.132Z,2023-06-14T23:17:00.130Z,500000,active,19488,1087679.2002680989,2021.9467176235216,2000,4500,1079157.253550475,42
ee5b8fe0-0573-11ee-8f51-bb3157c3bc20,0x4466a1767245dbbfb47ce2856e9cd6c666dadbe7b226f85fe1ba01f74b9870b7,0xca748eda8f9258faefb944dd3acfb1b1520c2af4,grant,XFounders Boot Camp. Startup school for Web3 Startups.,2023-06-07T20:43:00.342Z,2023-06-21T20:43:00.337Z,5200000,active,19486,2167126.85835263,3345.3144843064865,0,214700,1941335.543868324,42
2a137a40-0531-11ee-8f51-bb3157c3bc20,0x9171495a9dea3c604784a3261168e615f85b727092fa185bc5ad2226567ac0e5,0x247e0896706bb09245549e476257a0a1129db418,poll,Do you support Worlds rebranding to DreamSpace ?,2023-06-07T12:45:00.252Z,2023-06-12T12:45:00.252Z,500000,active,19479,3970553.202506866,22983.908885068366,12000,220100,3705422.293621798,47
ad893970-048f-11ee-8f51-bb3157c3bc20,0x9141538059367c4963f6a34fdec0a536364e591b01ac4ec34343fb7525d2a4d7,0x1e105bb213754519903788022b962fe2b9c4b263,grant,Community-Led Support for 3D Artists - MESH + MVAW23,2023-06-06T17:29:00.335Z,2023-06-20T17:29:00.334Z,2000000,active,19472,4176932.6205409463,52996.928405173676,84000,222300,3807713.6921357727,61
1c22a480-03f4-11ee-8f51-bb3157c3bc20,0x0bd07ec761da079f42dee070612f4757fbff07bd55260ff68d292b318776aebb,0x270722b5222968603e4650c3b70a7dfb971ed5b6,poll,"Should we continue development of 2dcl, the 2d client for Decentraland?",2023-06-05T22:55:00.400Z,2023-06-10T22:55:00.399Z,500000,active,19459,4044397.0130437273,12456.92742354324,2000,104100,3861176.085620184,57
4aefa4a0-036a-11ee-8f51-bb3157c3bc20,0x0dd7b213ca06f5b05b0e7d42a03b57ee9dc7336c193ad9f0af6348a0db666b15,0x5a1d993ff6e67aa214880c87b46255ea32e24139,grant,"Chain Challenger: Bridging Web2 players to DCL, a gaming discovery platform.",2023-06-05T06:29:00.371Z,2023-06-19T06:29:00.366Z,5400000,active,19452,2284866.297937898,1907.2497520256165,2000,212200,2058768.0481858721,50
8c377780-0301-11ee-8f51-bb3157c3bc20,0x785475e05a012f632bb84050f0fc154f565e2baeb6b0c7f08de5483a226bce8d,0x521b0fef9cdcf250abaf8e7bc798cbe13fa98692,draft,"Revoke grant ""Decentraland X Powered by Decentraland""",2023-06-04T17:59:00.736Z,2023-06-11T17:59:00.735Z,1000000,active,19437,4605806.34161001,51656.2254491774,198000,226100,4112668.1161608333,60
962b5840-01dc-11ee-8f51-bb3157c3bc20,0x47e35044eda8a9a8e011e44f2e19d445c9400a3b296bb6bd604903cdbff1a734,0x1b35f4d22b2c8bc706bcfcc383a1ca77fb4fc600,draft,"+10,000 add-ons repo for fashion creators",2023-06-03T07:02:00.895Z,2023-06-10T07:02:00.891Z,1000000,active,19427,3336407.346965159,8095.265995961504,74000,223100,3017350.0809691977,69
6e67c3b0-01b0-11ee-8f51-bb3157c3bc20,0x7af759eb32a0dd0b30a3bc688afca80daddd254b7ff19cf971b883b02e3bcfc3,0x664eabe08871a7b7f13ade88bc34605ed5eaeae6,grant,"Content that teaches how to create an NFT store using DG Live, builder and SDK",2023-06-03T01:46:00.323Z,2023-06-17T01:46:00.322Z,2000000,active,19426,7979730.310504214,7323.832381001468,152000,231400,7552444.478123212,72
9de254d0-0119-11ee-8f51-bb3157c3bc20,0xe70d39f8753ffddf4c07a8a0e05bf81935fe333d055df7c3d4fcd0c898354375,0xd5c2f48d7b69129354473613c07d60106768ccbe,governance,Should LandWorks landowners keep their VP?,2023-06-02T07:46:00.973Z,2023-06-16T07:46:00.972Z,6000000,active,19421,2886068.865461642,51058.49063249904,100000,12300,2719020.3748291433,68
63af1850-ffe0-11ed-8e4f-8db7948b5171,0x6ce3c596abec3c38095aa11f8cdd7a78bb95a6f2db16f8d095374dfb375adb26,0x9dab43bc15bd29cfe3030ca1b7edb3eeb9f3b6c1,poi,"Remove the location -92,-77 from the Points of Interest",2023-05-31T18:24:00.853Z,2023-06-07T18:24:00.850Z,500000,passed,19413,4762161.98346107,5131.279764723999,66000,235500,4444197.703696347,74
1cd5ddf0-ffcd-11ed-8e4f-8db7948b5171,0x3355b77f44340d67141b20ab4e24857680ab255e24d98b88c8d608d1326c9336,0x7aaeed8ead00fe1113ffa39da1e8eccd7167b642,grant,Simpfi AI Endpoint Integration With Decentraland,2023-05-31T16:06:00.551Z,2023-06-14T16:06:00.549Z,4200000,active,19412,5565084.888577385,7932.507912779264,114000,229300,5181072.380664607,74
e3495b80-ffc1-11ed-8e4f-8db7948b5171,0x880fc073991b4f9e3d343b2b6cc4e6451cf4cd9f6f42bd53df7ffc46b4e701bc,0x9937e3e274be96a624d7cd00f384eb71c741dd1b,poi,"Remove the location -30,-108 from the Points of Interest",2023-05-31T14:46:00.536Z,2023-06-07T14:46:00.535Z,500000,passed,19410,5597187.278321377,6824.109934156518,136000,242100,5183463.168387221,69
02bd44d0-ff23-11ed-8e4f-8db7948b5171,0x2ea1b801fff2f1a38b66a8afbc3093118e0091fec46d6349ea463a1c61f2e5b5,0xbc02db030361121dd43bbb2fcbcb4f9f98c1dc7d,poll,Allow builder to support non foundation servers for worlds deployments,2023-05-30T19:48:00.325Z,2023-06-04T19:48:00.319Z,500000,passed,19400,2269604.080675904,4949.359374042604,24000,222000,2003422.721301861,79
8b69f900-ff09-11ed-8e4f-8db7948b5171,0x6166cae921009fcf9c4011656ffdb520e17aeac37e6334afd61707eca2989a96,0x521b0fef9cdcf250abaf8e7bc798cbe13fa98692,poll,"Revoke grant ""Decentraland X Powered by Decentraland""",2023-05-30T16:46:00.712Z,2023-06-04T16:46:00.710Z,500000,passed,19397,3874185.22447328,7762.402129029728,60000,224800,3567020.8223442514,76
