Member,Proposal ID,Created,Proposal Title,Choice #,Choice,Vote Weight,Total VP,MANA VP,Names VP,LAND VP,Delegated VP
0xFa93c9A95727268b88Ff77b5396ED3B8b59a1BA1,0xd0bf9ab80bc380faf1a568cbfa45e3674daffee734995d7cb389a714eb10f885,2022-12-01T08:24:58.000Z,35+ Opensource Scenes and Assets for the Community by MrDhingia (Revised),1,yes,4.254933576729904,13000.5,0.5,0,0,13000
0x185af8cf06431DAcbc877ac754D21e86B4F68136,0xfcc0144bfd20cda568eff965e82f80688bc205a6c96a3396ee95542d6463bf17,2022-12-01T07:43:40.000Z,Should we denominate the fee to mint a NAME in USD?,2,"No, keep it at 100 MANA.",0.0637378218784582,5275.28,2680.2799999999997,400,2000,0
0x185af8cf06431DAcbc877ac754D21e86B4F68136,0x960eedf548ec44bb8633a92ee060d874be7a87757ceb4f2f290542fcfbb9b6d4,2022-12-01T07:22:05.000Z,Ban the name dclfoundation,2,no,0.15652599232694248,5275.28,2680.2799999999997,400,2000,0
0x8218a2445679e38F358e42F88fe2125C98440D59,0x92964e2d67cb18bee4e5b2a40efca7e6251bc9fdc64c3f9fe06a3d68aa824ee8,2022-12-01T07:21:42.000Z,Temporarily Pausing the uptake of new Decentraland Grants,1,yes,0.5910009233563001,38216.45403785061,810.460030236276,100,0,37305.99400761434
0x185af8cf06431DAcbc877ac754D21e86B4F68136,0x92964e2d67cb18bee4e5b2a40efca7e6251bc9fdc64c3f9fe06a3d68aa824ee8,2022-12-01T07:20:27.000Z,Temporarily Pausing the uptake of new Decentraland Grants,1,yes,0.08157992229931045,5275.28,2680.2799999999997,400,2000,0
0x1302Cf26C0DE826CDeC2d198871A2Ff89C7DA701,0x89c0dd563dba0304e6de8274122547c2aa94311ce85ce33a5c6412605392f72b,2022-12-01T06:55:53.000Z,Optimize MetaParty Events & CyberStrife Distributed RPG,1,yes,0.1499727003171579,4200,0,200,4000,0
0x3429CbFf7EB34e4C9dD9D7E41041fd7b2a01FdB0,0x67f07856eec957bd6013e253c2852b62d55fd43a1944cd1317dd0ca8056fcbea,2022-12-01T04:24:05.000Z,Hype Squad | The First Polish DAO Community,2,no,0.13932403086248593,2353.0834373207745,153.08343732077446,200,2000,0
0x3429CbFf7EB34e4C9dD9D7E41041fd7b2a01FdB0,0xd0bf9ab80bc380faf1a568cbfa45e3674daffee734995d7cb389a714eb10f885,2022-12-01T04:21:21.000Z,35+ Opensource Scenes and Assets for the Community by MrDhingia (Revised),1,yes,0.7797138981902642,2382.3334373207745,182.3334373207745,200,2000,0
0x4c86663bbe4344B674c770464bd044bed7a7d78B,0xd0bf9ab80bc380faf1a568cbfa45e3674daffee734995d7cb389a714eb10f885,2022-12-01T04:10:02.000Z,35+ Opensource Scenes and Assets for the Community by MrDhingia (Revised),1,yes,6.0766126723480385,18566.44801199805,466.44801199805136,100,18000,0
0x52aD8f3C506aA25b954276c5456060DAd6f3Fd7b,0xd0bf9ab80bc380faf1a568cbfa45e3674daffee734995d7cb389a714eb10f885,2022-12-01T04:06:00.000Z,35+ Opensource Scenes and Assets for the Community by MrDhingia (Revised),1,yes,0.5612853956512143,1714.9482252956007,1614.9482252956009,100,0,0
